BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	CATEGORY VALUES	CATEGORY IDS	CATEGORY TAGS	CATEGORY EVIDENCE VALUES	CATEGORY EVIDENCE IDS	CATEGORY EVIDENCE CLASSES	CATEGORY EVIDENCE METHODS	SUBCATEGORY VALUES	SUBCATEGORY IDS	SUBCATEGORY TAGS	SUBCATEGORY EVIDENCE VALUES	SUBCATEGORY EVIDENCE IDS	SUBCATEGORY EVIDENCE CLASSES	SUBCATEGORY EVIDENCE METHODS
32520	852077	YDR466W	PKH3	protein kinase PKH3	559292	Saccharomyces cerevisiae (S288c)	154	16	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
33920	853632	YKL203C	TOR2	DRR2|phosphatidylinositol kinase-related protein kinase TOR2|L000002323	559292	Saccharomyces cerevisiae (S288c)	701	10	0	BIOGRID	Kinase	-	-	-	-	-	-	ATYPICAL	-	-	-	-	-	-
33922	853635	YKL198C	PTK1	KKT8|POT1|STK1|YKL199C|YKT9|putative serine/threonine protein kinase PTK1|L000003491	559292	Saccharomyces cerevisiae (S288c)	220	2	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31478	850907	YLR210W	CLB4	B-type cyclin CLB4|L000000352	559292	Saccharomyces cerevisiae (S288c)	179	2	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
31570	851014	YLR305C	STT4	1-phosphatidylinositol 4-kinase STT4|L000002137	559292	Saccharomyces cerevisiae (S288c)	377	8	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
32301	851838	YDR251W	PAM1	L000001334	559292	Saccharomyces cerevisiae (S288c)	107	33	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
36869	856862	YER125W	RSP5	MDP1|MUT2|NPI1|SMM1|UBY1|NEDD4 family E3 ubiquitin-protein ligase|L000001054|L000001779|L000001220	559292	Saccharomyces cerevisiae (S288c)	1944	22	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
30987	850366	YCR008W	SAT4	HAL4|serine/threonine protein kinase SAT4|L000004136	559292	Saccharomyces cerevisiae (S288c)	281	7	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
36867	856860	YER123W	YCK3	CKI3|casein kinase YCK3|L000002915	559292	Saccharomyces cerevisiae (S288c)	203	17	0	BIOGRID	Kinase	-	-	-	-	-	-	CK1	-	-	-	-	-	-
33096	852719	YGL158W	RCK1	putative serine/threonine protein kinase RCK1|L000001592	559292	Saccharomyces cerevisiae (S288c)	230	7	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
35208	855052	YMR036C	MIH1	putative tyrosine protein phosphatase MIH1|L000001111	559292	Saccharomyces cerevisiae (S288c)	237	18	0	BIOGRID	Phosphatase	-	-	-	-	-	-	DSP	-	-	-	-	-	-
34403	854161	YOL001W	PHO80	AGS3|TUP7|VAC5|phoR|L000001426	559292	Saccharomyces cerevisiae (S288c)	874	6	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
30980	850358	YCR002C	CDC10	septin CDC10|L000000250	559292	Saccharomyces cerevisiae (S288c)	788	13	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
33595	853275	YJL164C	TPK1	PKA1|SRA3|cAMP-dependent protein kinase catalytic subunit TPK1|L000002045	559292	Saccharomyces cerevisiae (S288c)	615	5	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
34878	854693	YIL113W	SDP1	mitogen-activated protein kinase tyrosine protein phosphatase SDP1|L000004339	559292	Saccharomyces cerevisiae (S288c)	82	1	0	BIOGRID	Phosphatase	-	-	-	-	-	-	DSP	-	-	-	-	-	-
35532	855409	YNL307C	MCK1	CMS1|YPK1|serine/threonine/tyrosine protein kinase MCK1|L000001036|S000029094|L000000369	559292	Saccharomyces cerevisiae (S288c)	908	12	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
36519	856484	YHR084W	STE12	homeodomain family transcription factor STE12|L000002119	559292	Saccharomyces cerevisiae (S288c)	190	17	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
32028	851533	YDL028C	MPS1	PAC8|RPK1|serine/threonine/tyrosine protein kinase MPS1|L000001698	559292	Saccharomyces cerevisiae (S288c)	817	52	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
36228	856167	YPR054W	SMK1	mitogen-activated protein kinase SMK1|L000001933	559292	Saccharomyces cerevisiae (S288c)	83	0	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
36461	856425	YHR030C	SLT2	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	559292	Saccharomyces cerevisiae (S288c)	2027	20	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
31667	851126	YLR410W	VIP1	inositol polyphosphate kinase VIP1|L000004547	559292	Saccharomyces cerevisiae (S288c)	811	26	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
34085	853818	YKL048C	ELM1	LDB9|serine/threonine protein kinase ELM1|L000000548	559292	Saccharomyces cerevisiae (S288c)	1330	5	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31857	851339	YDL188C	PPH22	PPH2|phosphoprotein phosphatase 2A catalytic subunit PPH22|L000001473	559292	Saccharomyces cerevisiae (S288c)	241	5	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
35649	855538	YNL183C	NPR1	serine/threonine protein kinase NPR1|L000001273	559292	Saccharomyces cerevisiae (S288c)	232	55	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
36287	856236	YPR119W	CLB2	B-type cyclin CLB2|L000000350	559292	Saccharomyces cerevisiae (S288c)	679	6	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
31053	850441	YCR079W	PTC6	AUP1|PPP2|type 2C protein phosphatase PTC6	559292	Saccharomyces cerevisiae (S288c)	266	2	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPM	-	-	-	-	-	-
36510	856475	YHR076W	PTC7	type 2C protein phosphatase PTC7	559292	Saccharomyces cerevisiae (S288c)	140	1	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPM	-	-	-	-	-	-
33969	853686	YKL168C	KKQ8	putative serine/threonine protein kinase KKQ8|L000004097	559292	Saccharomyces cerevisiae (S288c)	187	19	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31749	851216	YAL017W	PSK1	FUN31|serine/threonine protein kinase PSK1|L000000646	559292	Saccharomyces cerevisiae (S288c)	137	45	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
32826	852422	YBR125C	PTC4	GCT1|type 2C protein phosphatase PTC4	559292	Saccharomyces cerevisiae (S288c)	239	7	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPM	-	-	-	-	-	-
32559	852119	YDR507C	GIN4	ERC47|protein kinase GIN4|L000002876	559292	Saccharomyces cerevisiae (S288c)	526	73	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
36503	856468	YHR071W	PCL5	L000004037	559292	Saccharomyces cerevisiae (S288c)	87	2	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
34603	854383	YOR208W	PTP2	tyrosine protein phosphatase PTP2|L000001526	559292	Saccharomyces cerevisiae (S288c)	136	4	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PTP	-	-	-	-	-	-
34107	853844	YKL024C	URA6	SOC8|bifunctional uridylate/adenylate kinase|L000002435	559292	Saccharomyces cerevisiae (S288c)	254	6	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
32492	852046	YDR436W	PPZ2	L000001479	559292	Saccharomyces cerevisiae (S288c)	118	18	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
31982	851480	YDL079C	MRK1	putative serine/threonine protein kinase MRK1|L000001151	559292	Saccharomyces cerevisiae (S288c)	98	2	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
31279	850692	YLR006C	SSK1	mitogen-activated protein kinase kinase kinase SSK1|L000002084	559292	Saccharomyces cerevisiae (S288c)	221	21	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
30991	850370	YCR012W	PGK1	phosphoglycerate kinase|L000001411	559292	Saccharomyces cerevisiae (S288c)	153	59	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
32763	852351	YBR059C	AKL1	serine/threonine protein kinase AKL1|S000007479	559292	Saccharomyces cerevisiae (S288c)	241	53	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31402	850824	YLR133W	CKI1	bifunctional choline kinase/ethanolamine kinase CKI1|L000000346	559292	Saccharomyces cerevisiae (S288c)	176	19	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
36202	856136	YPR025C	CCL1	TFIIH complex kinase subunit CCL1|L000000237	559292	Saccharomyces cerevisiae (S288c)	199	4	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
32011	851513	YDL047W	SIT4	PPH1|type 2A-related serine/threonine-protein phosphatase SIT4|L000001901	559292	Saccharomyces cerevisiae (S288c)	319	2	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
32017	851520	YDL042C	SIR2	MAR1|NAD-dependent histone deacetylase SIR2|L000001895	559292	Saccharomyces cerevisiae (S288c)	666	5	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
33814	853520	YJR057W	CDC8	bifunctional thymidylate/uridylate kinase|L000000248	559292	Saccharomyces cerevisiae (S288c)	786	0	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
36517	856482	YHR082C	KSP1	putative serine/threonine protein kinase KSP1|L000000921	559292	Saccharomyces cerevisiae (S288c)	577	48	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
33816	853522	YJR059W	PTK2	STK2|protein kinase PTK2|L000003492	559292	Saccharomyces cerevisiae (S288c)	914	49	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
31507	850941	YLR240W	VPS34	END12|PEP15|STT8|VPL7|VPS7|VPT29|phosphatidylinositol 3-kinase VPS34|L000002476	559292	Saccharomyces cerevisiae (S288c)	152	3	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
31908	851400	YDL155W	CLB3	B-type cyclin CLB3|L000000351	559292	Saccharomyces cerevisiae (S288c)	241	7	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
31905	851396	YDL159W	STE7	mitogen-activated protein kinase kinase STE7|L000002117	559292	Saccharomyces cerevisiae (S288c)	141	4	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
32799	852390	YBR093C	PHO5	acid phosphatase PHO5|phoE|L000001421	559292	Saccharomyces cerevisiae (S288c)	95	1	0	BIOGRID	Phosphatase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
35668	855561	YNL161W	CBK1	serine/threonine protein kinase CBK1|L000004609	559292	Saccharomyces cerevisiae (S288c)	218	11	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
35856	855766	YNR032W	PPG1	putative serine/threonine-protein kinase PPG1|L000001470	559292	Saccharomyces cerevisiae (S288c)	287	0	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
35153	854992	YML016C	PPZ1	L000001478	559292	Saccharomyces cerevisiae (S288c)	484	46	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
36288	856237	YPR120C	CLB5	B-type cyclin CLB5|L000000353	559292	Saccharomyces cerevisiae (S288c)	574	3	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
34247	853992	YOL128C	YGK3	serine/threonine protein kinase YGK3	559292	Saccharomyces cerevisiae (S288c)	72	4	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
34032	853760	YKL101W	HSL1	ELM2|NIK1|protein kinase HSL1|L000003129|L000002839	559292	Saccharomyces cerevisiae (S288c)	941	75	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
34736	854533	YOR351C	MEK1	MRE4|serine/threonine protein kinase MEK1|L000001062|L000001148	559292	Saccharomyces cerevisiae (S288c)	310	0	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
33408	853065	YGR161C	RTS3	-	559292	Saccharomyces cerevisiae (S288c)	161	28	0	BIOGRID	Phosphatase Associated	-	-	-	-	-	-	-	-	-	-	-	-	-
36282	856231	YPR115W	RGC1	GCA1	559292	Saccharomyces cerevisiae (S288c)	121	36	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
36045	855967	YPL137C	GIP3	protein phosphatase regulator GIP3	559292	Saccharomyces cerevisiae (S288c)	93	28	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
31063	850453	YCR091W	KIN82	FPK2|putative serine/threonine protein kinase KIN82|L000000906	559292	Saccharomyces cerevisiae (S288c)	237	10	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
36041	855962	YPL141C	FRK1	protein kinase FRK1	559292	Saccharomyces cerevisiae (S288c)	199	9	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
36042	855963	YPL140C	MKK2	LPI6|SSP33|putative mitogen-activated protein kinase kinase MKK2|L000001118	559292	Saccharomyces cerevisiae (S288c)	206	4	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
36834	856823	YER089C	PTC2	type 2C protein phosphatase PTC2|L000003403	559292	Saccharomyces cerevisiae (S288c)	297	11	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPM	-	-	-	-	-	-
32481	852032	YDR422C	SIP1	L000001890	559292	Saccharomyces cerevisiae (S288c)	183	45	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	-	-	-	-	-	-	-
34505	854276	YOR109W	INP53	SJL3|SOP2|phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP53|L000003984	559292	Saccharomyces cerevisiae (S288c)	474	23	0	BIOGRID	Phosphatase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
31248	850657	YLL003W	SFI1	L000003991	559292	Saccharomyces cerevisiae (S288c)	133	13	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
35614	855499	YNL222W	SSU72	L000003154	559292	Saccharomyces cerevisiae (S288c)	413	3	0	BIOGRID	Phosphatase	-	-	-	-	-	-	-	-	-	-	-	-	-
33370	853023	YGR123C	PPT1	L000002624	559292	Saccharomyces cerevisiae (S288c)	117	1	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PPP	-	-	-	-	-	-
35619	855504	YNL217W	YNL217W	putative serine/threonine-protein phosphatase	559292	Saccharomyces cerevisiae (S288c)	57	1	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
32573	852135	YDR523C	SPS1	putative serine/threonine protein kinase SPS1|L000002024	559292	Saccharomyces cerevisiae (S288c)	120	3	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
36456	856420	YHR025W	THR1	homoserine kinase|L000002298	559292	Saccharomyces cerevisiae (S288c)	129	6	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
34626	854408	YOR233W	KIN4	KIN3|KIN31|putative serine/threonine protein kinase KIN4|L000000904	559292	Saccharomyces cerevisiae (S288c)	465	23	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
36930	856924	YER177W	BMH1	APR6|14-3-3 family protein BMH1|L000000185	559292	Saccharomyces cerevisiae (S288c)	991	16	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
34624	854406	YOR231W	MKK1	SSP32|mitogen-activated protein kinase kinase MKK1|L000001117	559292	Saccharomyces cerevisiae (S288c)	283	10	0	BIOGRID	Kinase	-	-	-	-	-	-	STE	-	-	-	-	-	-
35980	855897	YPL204W	HRR25	KTI14|serine/threonine protein kinase HRR25|L000000810	559292	Saccharomyces cerevisiae (S288c)	852	8	0	BIOGRID	Kinase	-	-	-	-	-	-	CK1	-	-	-	-	-	-
35981	855898	YPL203W	TPK2	PKA2|PKA3|YKR1|cAMP-dependent protein kinase catalytic subunit TPK2|L000001445	559292	Saccharomyces cerevisiae (S288c)	306	3	0	BIOGRID	Kinase	-	-	-	-	-	-	AGC	-	-	-	-	-	-
33866	853574	YJR110W	YMR1	phosphatidylinositol-3-phosphatase YMR1	559292	Saccharomyces cerevisiae (S288c)	75	4	0	BIOGRID	Phosphatase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
32801	852392	YBR095C	RXT2	RAF60	559292	Saccharomyces cerevisiae (S288c)	1026	6	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
32969	852577	YBR274W	CHK1	serine/threonine protein kinase CHK1|L000004861	559292	Saccharomyces cerevisiae (S288c)	640	11	0	BIOGRID	Kinase	-	-	-	-	-	-	CAMK	-	-	-	-	-	-
32803	852394	YBR097W	VPS15	GRD8|VAC4|VPL19|VPS40|VPT15|ubiquitin-binding serine/threonine protein kinase VPS15|L000002470|L000002924|S000029641|L000002480	559292	Saccharomyces cerevisiae (S288c)	128	5	0	BIOGRID	Kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
36334	856290	YPR161C	SGV1	BUR1|cyclin-dependent serine/threonine protein kinase SGV1|L000001878	559292	Saccharomyces cerevisiae (S288c)	1389	9	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
35724	855624	YNL099C	OCA1	putative tyrosine protein phosphatase OCA1	559292	Saccharomyces cerevisiae (S288c)	302	3	0	BIOGRID	Phosphatase	-	-	-	-	-	-	PTP	-	-	-	-	-	-
36920	856914	YER167W	BCK2	CTR7|L000000163	559292	Saccharomyces cerevisiae (S288c)	325	14	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
33650	853338	YJL106W	IME2	SME1|protein kinase IME2|L000000862	559292	Saccharomyces cerevisiae (S288c)	317	4	0	BIOGRID	Kinase	-	-	-	-	-	-	CMGC	-	-	-	-	-	-
31172	850574	YFR019W	FAB1	SVL7|1-phosphatidylinositol-3-phosphate 5-kinase|L000000597	559292	Saccharomyces cerevisiae (S288c)	546	27	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
35548	855427	YNL289W	PCL1	HCS26|L000002783	559292	Saccharomyces cerevisiae (S288c)	134	15	0	BIOGRID	Kinase Associated	-	-	-	-	-	-	CYCLIN	-	-	-	-	-	-
32258	851789	YDR208W	MSS4	1-phosphatidylinositol-4-phosphate 5-kinase|L000001203	559292	Saccharomyces cerevisiae (S288c)	392	30	0	BIOGRID	Kinase Metabolic/Lipid	-	-	-	-	-	-	-	-	-	-	-	-	-
